Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,9262,106975888,216,6041
justinbieber,Justin Bieber,30540,104440735,304546,3406
BarackObama,Barack Obama,15525,102323442,619017,11
Taylorswift13,Taylor Swift,100,83341513,0,464
rihanna,Rihanna,10181,87597467,1103,1004
youtube,YouTube,22829,70854942,1018,2280
theellenshow,Ellen DeGeneres,17410,76367083,35548,1007
ladygaga,Lady Gaga,8811,76837718,126383,1937
twitter,Twitter,7238,55391792,140,5544
jtimberlake,Justin Timberlake,4012,64427210,286,240
britneyspears,Britney Spears,5553,56261227,384824,2563
cristiano,Cristiano Ronaldo,3266,74714544,99,0
kimkardashian,Kim Kardashian West,28000,58811701,136,5
selenagomez,Selena Gomez,4368,56550231,1221,169
cnnbrk,CNN Breaking News,62982,54259061,121,20
jimmyfallon,jimmy fallon,11193,50399203,8207,276
arianagrande,Ariana Grande,42364,57734153,63156,35959
shakira,Shakira 🤫,5856,50715943,211,1261
ddlovato,Demi Lovato,17083,57172812,538,2081
jlo,Jennifer Lopez,13760,43822817,1699,7206
instagram,Instagram,11977,37067383,4,205
oprah,Oprah Winfrey,12545,41559763,297,156
drake,Drizzy,1713,37112967,631,15
kingjames,LeBron James,5947,41506813,185,123
nytimes,The New York Times,334329,42005297,876,17305
billgates,Bill Gates,2827,45837544,191,66
cnn,CNN,203904,40430914,1116,1453
kevinhart4real,Kevin Hart,37538,34519994,555,91
mileycyrus,Miley Ray Cyrus,9255,40608178,389,285
onedirection,One Direction,9897,31111637,3783,295
sportscenter,SportsCenter,104939,35211040,1662,1113
espn,ESPN,97023,33672971,242,128
bbcbreaking,BBC Breaking News,34892,38265699,3,0
harry_styles,Harry Styles.,5488,32587982,2016,102
pink,P!nk,7129,31853891,457,532
liltunechi,Lil Wayne WEEZY F,1896,33654474,48,13
wizkhalifa,Wiz Khalifa,44495,33402250,832,58
niallofficial,Niall Horan,12909,39399130,5983,408
brunomars,Bruno Mars,4432,41999986,109,290
adele,Adele,307,27946251,0,0
narendramodi,Narendra Modi,20593,44023855,2064,0
neymarjr,Neymar Jr,41246,41021353,738,819
kanyewest,ye,504,28446624,8,2
kaka,Kaka,5020,29619531,304,98
actuallynph,Neil Patrick Harris,2935,27073187,133,205
realdonaldtrump,Donald J. Trump,39089,54638634,47,25
danieltosh,daniel tosh,13837,26295481,135,2
srbachchan,Amitabh Bachchan,63079,35073814,1871,63
aliciakeys,Alicia Keys,7774,29896127,704,413
nba,NBA,206727,27315217,1670,364
